Place_name,Category,address,working_time,spending_time,off_link,cult_significance,information,tiket_price,city
Музей Центральной азии,Музей,"ул. Фурманова 85, г. Алматы",Пн-Вс: 10:00 - 18:00,3 часа,https://religions-congress.org/ru/news/k-prog/1557,10,Этот музей является одним из крупнейших в Казахстане и представляет собой уникальную коллекцию искусства и артефактов из разных стран Центральной Азии. Посетители могут ознакомиться с историей и культурой этого региона через выставки и интерактивные мероприятия.,500-1000 тенге,Алматы
Государственный музей искусства имени Кастеева,Музей,"ул. Сатпаева 30а, г. Алматы",Пн-Вс: 10:00 - 18:00,1 час,https://www.gmirk.kz/ru/,6,"Этот музей является центром изобразительного искусства в Казахстане. Он представляет широкий спектр коллекций, включая произведения современных искусственных казахстанских художников, а также классические произведения мирового искусства.",500-1000 тенге,Алматы
Музей истории города Алматы,Музей,"ул. Фурманова 75, г. Алматы",Ср-Вс: 10:00 - 18:00,4 часа,https://culturemap.kz/ru/object/muzeiy-istorii-goroda-almaty,7,"Этот музей посвящен богатой истории и культуре города Алматы. Он представляет экспозиции, рассказывающие о развитии города с древних времен до современности, его архитектуре, образе жизни и культурных традициях.",500-800 тенге,Алматы
Музей Национального музыкального инструмента,Музей,"ул. Курмангазы 59, г. Алматы",Пн-Вс: 10:00 - 18:00,1.5 часа,https://yqlasmusmuseum.kz/,7,"В этом музее представлена уникальная коллекция национальных музыкальных инструментов Казахстана. Посетители могут узнать о различных инструментах, их истории и использовании в музыкальной культуре страны.",300-500 тенге,Алматы
Государственный музей искусства имени Шакена Айманова,Музей,"пр. Тауелсиздик 44, г. Астана",Пн-Вс: 10:00 - 18:00,2 часа,https://csmrk.kz/index.php/about-muz-menu/34-cat-actions,9,"Этот музей посвящен творчеству выдающегося казахстанского художника Шакена Айманова. Он представляет различные живописные и графические произведения художника, а также рассказывает о его жизни и творческом пути.",500-1000 тенге,Астана
Государственный музей истории Казахстана,Музей,"пр. Тауелсиздик 16, г. Астана",Пн-Вс: 10:00 - 18:00,5 часов,https://csmrk.kz/,9,"Этот музей является ключевым центром для изучения истории и культуры Казахстана. Он представляет обширную коллекцию археологических находок, артефактов, исторических документов и экспонатов, отражающих богатое наследие страны.",500-1000 тенге,Астана
"Музей национальной архитектуры и быта Казахстана ""Этно-мемориал""",Музей,"ул. Бейбитшилик 1, г. Астана",Пн-Вс: 10:00 - 18:00,2 часа,atamekenmap.kz,5,"В этом музее представлена уникальная коллекция архитектурных ансамблей и предметов быта, отражающих традиционную культуру и образ жизни различных этносов Казахстана.",500-800 тенге,Астана
Музей авиации и космонавтики Республики Казахстан,Музей,"пр. Кабанбай батыра 19/1, г. Астана",Пн-Вс: 9:00 - 18:00,3 часа,https://www.goszakup.gov.kz/ru/registry/show_supplier/297594,6,"Этот музей посвящен истории развития авиации и космонавтики в Казахстане. Он представляет экспонаты, связанные с первыми полетами, космическими программами и достижениями казахстанских пилотов и космонавтов.",500-1000 тенге,Астана
Музей истории и культуры Астаны,Музей,"ул. Кабанбай батыра 20, г. Астана",Пн-Вс: 10:00 - 18:00,1.5 часов,https://nmrk.kz/,8,"Этот музей представляет историю и культуру столицы Казахстана - города Астаны (Нур-Султан). Он рассказывает о процессе становления и развития города, его архитектуре, культурных традициях и достопримечательностях.",500-800 тенге,Астана
Музей Шокана Уалиханова,Музей,"ул. М. Горького 20, г. Семей",Пн-Вс: 10:00 - 18:00,3 часа,https://culturemap.kz/ru/object/memorial-nyiy-muzeiy-im-ch-valihanova-altyn-mel,9,"Этот музей посвящен выдающемуся казахстанскому писателю, общественному деятелю и ученому Шокану Уалиханову. Он представляет экспозиции, рассказывающие о жизни и творчестве писателя, его вкладе в культурное наследие Казахстана.",300-500 тенге,Семей
